"run_index","capital","days","yearly_interest_rate"
245,50001.00,180,5.20
246,50000.00,180,5.10
247,35001.00,180,5.10
248,35000.00,180,5.05
249,20001.00,180,5.05
250,20000.00,180,5.00
251,12001.00,180,5.00
252,12000.00,180,4.95
253,7501.00,180,4.95
254,7500.00,180,4.90
255,4501.00,180,4.90
256,4500.00,180,4.85
257,2501.00,180,4.85
258,2500.00,180,4.75
259,1001.00,180,4.75
260,1000.00,180,4.55
261,100.00,180,4.55
262,1000000.00,270,5.30
263,100001.00,270,5.30
264,100000.00,270,5.20
265,50001.00,270,5.20
266,50000.00,270,5.10
267,35001.00,270,5.10
268,35000.00,270,5.05
269,20001.00,270,5.05
270,20000.00,270,5.00
271,12001.00,270,5.00
272,12000.00,270,4.95
273,7501.00,270,4.95
274,7500.00,270,4.90
275,4501.00,270,4.90
276,4500.00,270,4.85
277,2501.00,270,4.85
278,2500.00,270,4.75
279,1001.00,270,4.75
280,1000.00,270,4.55
281,100.00,270,4.55
282,1000000.00,271,5.40
283,100001.00,271,5.40
284,100000.00,271,5.30
285,50001.00,271,5.30
286,50000.00,271,5.20
287,35001.00,271,5.20
288,35000.00,271,5.15
289,20001.00,271,5.15
290,20000.00,271,5.10
291,12001.00,271,5.10
292,12000.00,271,5.05
293,7501.00,271,5.05
294,7500.00,271,5.00
295,4501.00,271,5.00
296,4500.00,271,4.95
297,2501.00,271,4.95
298,2500.00,271,4.85
299,1001.00,271,4.85
300,1000.00,271,4.65
301,100.00,271,4.65
302,1000000.00,360,5.40
303,100001.00,360,5.40
304,100000.00,360,5.30
305,50001.00,360,5.30
306,50000.00,360,5.20
307,35001.00,360,5.20
308,35000.00,360,5.15
309,20001.00,360,5.15
310,20000.00,360,5.10
311,12001.00,360,5.10
312,12000.00,360,5.05
313,7501.00,360,5.05
314,7500.00,360,5.00
315,4501.00,360,5.00
316,4500.00,360,4.95
317,2501.00,360,4.95
318,2500.00,360,4.85
319,1001.00,360,4.85
320,1000.00,360,4.65
321,100.00,360,4.65
322,1000000.00,361,5.75
323,100001.00,361,5.75
324,100000.00,361,5.65
325,50001.00,361,5.65
326,50000.00,361,5.55
327,35001.00,361,5.55
328,35000.00,361,5.50
329,20001.00,361,5.50
330,20000.00,361,5.45
331,12001.00,361,5.45
332,12000.00,361,5.35
333,7501.00,361,5.35
334,7500.00,361,5.30
335,4501.00,361,5.30
336,4500.00,361,5.25
337,2501.00,361,5.25
338,2500.00,361,5.15
339,1001.00,361,5.15
340,1000.00,361,5.00
341,100.00,361,5.00
342,1000000.00,720,5.75
343,100001.00,720,5.75
344,100000.00,720,5.65
345,50001.00,720,5.65
346,50000.00,720,5.55
347,35001.00,720,5.55
348,35000.00,720,5.50
349,20001.00,720,5.50
350,20000.00,720,5.45
351,12001.00,720,5.45
352,12000.00,720,5.35
353,7501.00,720,5.35
354,7500.00,720,5.30
355,4501.00,720,5.30
356,4500.00,720,5.25
357,2501.00,720,5.25
358,2500.00,720,5.15
359,1001.00,720,5.15
360,1000.00,720,5.00
361,100.00,720,5.00
